section_reference,category,section,subsection,cost_related,docu_txt
3.2.4,Property Characteristics,Site Improvements,Landscape and Irrigation,True,"There is an Short-term (12-24 months) cost item regarding Trees, shrubs and Ivy (growing on the walls) were observed impeding on the building rooftop and façade at points along the north, south and east walls. No portion of any vegetation should be in contact with the building exterior. It is recommended that the trees and shrubs be trimmed back and the ivy removed.
 for total unit of 1 LS with total cost of 0.0 dollars., There is an Short-term (12-24 months) cost item regarding Barren turf was observed throughout the site typical of conditions noted to the south elevation of the structure. Refurbishment of the turf is recommended.
 for total unit of 800 SF with total cost of 0 dollars., There is an Immediate (0-12 months) cost item regarding Barren turf was observed throughout the site. Testing the irrigation system for proper operation to include as-need repairs is recommended.  for total unit of 1 EA with total cost of 1000.0 dollars."
4.2,Structure and Envelope,Building Frame,,True,There is an Immediate (0-12 months) cost item regarding Foil insulation was noted at the roof structure: this should be inspected for structural damage (rust of subpurlin hangers) and cut back to allow for air movement/drainage of any condensation. for total unit of 1 ADVISORY with total cost of 0.0 dollars.
4.3.1,Structure and Envelope,Facades or Curtain Walls,Exterior Walls,True,"There is an Immediate (0-12 months) cost item regarding There was reported and observed water intrusion along the east elevation central and southeast walls, and the southern walls, near the fire riser. The total east walls were mainly at the window areas. There were cracks on the walls where the water intrusion was located. The central east wall intrusion was at both the grade level and the upper mezzanine level. The southeast and south elevation intrusion was at grade level. Repair of the damage areas to include windows sealant replacement (Waterproofing Budget).

 for total unit of 1 LS with total cost of 10000.0 dollars., There is an Short-term (12-24 months) cost item regarding Exterior paint was chipping at various points along the perimeter walls and what appears to be graffiti coverup was located along the south elevation wall. A complete repaint of the exterior is recommended. If graffiti is an ongoing issue, painting with a ""graffiti resistant paint"" is recommended. 

 for total unit of 24950 SF with total cost of 0.0 dollars., There is an Immediate (0-12 months) cost item regarding ** Waterproofing  - $15,000, 2023.Partner takes no exception to the cost. The budget will be broken out at line item cost for water intrusion repairs (referenced as waterproofing as separate line items). for total unit of nan with total cost of 0.0 dollars., There is an Short-term (12-24 months) cost item regarding The concrete wall panel joint calking was observed to be worn and cracked throughout the structure. Replacement of the wall panel joint caulking is recommended.

 for total unit of 1025 LF with total cost of 0.0 dollars."
4.3.2,Structure and Envelope,Facades or Curtain Walls,Windows,True,There is an Short-term (12-24 months) cost item regarding There was a broken window located at the southeast corner warehouse area. Replacement of the broken window is recommended. Damaged chain link fencing should be replaced.  for total unit of 1 LS with total cost of 0.0 dollars.
4.3.3,Structure and Envelope,Facades or Curtain Walls,Doors,True,"There is an Immediate (0-12 months) cost item regarding The overhead door ramp access location was reported to have water intrusion issues at the bottom base of the door. The doors at the north and south corners have storm water grates at the entrance points. The channels were observed to be littered with debris, had vegetative growth and sections of the metal grates were missing. This is believed to be the contributing factor for the water intrusion. Clearing the channels of the debris, vegetative growth, pressure jet cleaning the outlets and replacing the missing grates is recommended.  for total unit of 1 LS with total cost of 1500.0 dollars."
4.4.1,Structure and Envelope,Roof,Roofing Materials,True,"There is an Immediate (0-12 months) cost item regarding Due to the mounted equipment on the roof and areas of the parapet being below 42"" in height, it is recommended that a yellow safety strip be painted along the roof's perimeter low points, three feet from the parapet wall.

 for total unit of 500 LF with total cost of 1500.0 dollars., There is an Immediate (0-12 months) cost item regarding Installation of parapet coping. 

 for total unit of 740 LF with total cost of 7400.0 dollars., There is an Immediate (0-12 months) cost item regarding The low slope roof was in poor condition. The cap sheet had lost a considerable amount of the granules, was cracked and worn at varying locations throughout. Additionally, the roof was reported to have leaks through its surface and is suspected to be one of the main contributing factors to the water infiltrations along the east and south walls. Roof overlay with TPO is recommended 

 for total unit of 24886 SF with total cost of 199088.0 dollars."
4.4.2,Structure and Envelope,Roof,Roof Drainage,True,"There is an Immediate (0-12 months) cost item regarding The drain covers and roofing material was worn and cracked and vegetation was growing in the drains at the southeast and northwest elevation drains. Clearing the drains and as-needed replace of the drains  during the roof replacement process is recommended. 
A roof maintenance program has just been implemented, which includes cleaning of the roof. It is recommended that the roof maintenance company be contacted to complete the cleaning of the drains.
Additionally once the roof has been replaced, it is recommended that the roof maintenance agreement be amended to comply to the new roofs manufacturers requirements.  for total unit of 1 EA with total cost of 0.0 dollars."
4.4.3,Structure and Envelope,Roof,Roof Mounted Equipment,True,"There is an Immediate (0-12 months) cost item regarding The skylights were not provided with fall protection around them. It is recommended that fall protection be installed.  for total unit of 12 EA with total cost of 8400.0 dollars., There is an Immediate (0-12 months) cost item regarding The roof hatch is missing safety railing. Installation of roof hatch railing is recommended.  for total unit of 1 EA with total cost of 4500.0 dollars."
5.1,Mechanical and Electrical Systems,"Plumbing, Domestic Hot Water, and Sewer Systems",,True,"There is an Immediate (0-12 months) cost item regarding There was a safety cage at the water supply anti-syphoning east elevation location that was broken and is disconnected from the base. Repair or replacement of the safety cage is recommended.  for total unit of 1 EA with total cost of 250.0 dollars., There is an Immediate (0-12 months) cost item regarding There was a broken discharge pipe at the south elevation of the structure. It is recommended that the broken pipe be repaired. 
 for total unit of 1 EA with total cost of 250.0 dollars."
5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,True,"There is an Short-term (12-24 months) cost item regarding The package units had indications of wear.  Per discussion with the maintenance/contractor, replacement is planned. Additionally based on the subject's general location to the ocean, acceleration of exposure to the elements has reduced the units EUL. Replacement of the HVAC package units is recommended.  for total unit of 15 Ton with total cost of 0.0 dollars."
6.4,Interior Improvements,Commercial Tenant,,True,There is an Immediate (0-12 months) cost item regarding The internal water intrusion includes areas of damaged carpet and possible gypsum board. Repair and replacement of all water damaged interior elements is recommended (waterproofing budget).  for total unit of 1 EA with total cost of 5000.0 dollars.
3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",True,"There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping (after table 1 proposed repairs, seal coat and striping) for total unit of 14300 SF that have 5 years remaining useful life with total cost of nan dollars, year 5 costs $7150.0, year 10 costs $7150.0."
4.3.1,Structure and Envelope,Facades or Curtain Walls,Exterior Walls,True,"There is an Single-year event Reserve cost item regarding Repair and maintenance of loading dock doors and equipment.  for total unit of 4 EA that have 10 years remaining useful life with total cost of nan dollars, year 10 costs $20000.0., There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing (after table 1) for total unit of 24950 SF that have 8 years remaining useful life with total cost of nan dollars, year 8 costs $39920.0."
4.4.1,Structure and Envelope,Roof,Roofing Materials,True,"There is an Single-year event Reserve cost item regarding Replace, skylights for total unit of 12 EA that have 2 years remaining useful life with total cost of nan dollars, year 2 costs $42000.0., There is an Single-year event Reserve cost item regarding Annual roof maintenance including coating of corrugated metal awnings.  for total unit of 24886 SF that have 1 years remaining useful life with total cost of nan dollars, year 1 costs $2488.6, year 2 costs $2488.6, year 3 costs $2488.6, year 4 costs $2488.6, year 5 costs $2488.6, year 6 costs $2488.6, year 7 costs $2488.6, year 8 costs $2488.6, year 9 costs $2488.6, year 10 costs $2488.6, year 11 costs $2488.6, year 12 costs $2488.6."
5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"In multi hvac equipment table, an equipment describe as 2- Carrier Package unit with model number 50TJQ004---601GA, it has size of 5-Ton and is manufactured in 2000is in Poor condition, In multi hvac equipment table, an equipment describe as 1- Carrier Package unit with model number 50TJQ008---601GA, it has size of 5-Ton and is manufactured in 2000is in Poor condition"
